"COUNTRY","Country","SERIES","Series","PERIOD","Pay period","TIME","Time","Unit Code","Unit","PowerCode Code","PowerCode","Reference Period Code","Reference Period","Value","Flag Codes","Flags"
"NZL","New Zealand","EXR","In 2021 constant prices at 2021 USD exchange rates","A","Annual","2015","2015","USD","US Dollar","0","Units",,,24075.08,,
"NZL","New Zealand","EXR","In 2021 constant prices at 2021 USD exchange rates","A","Annual","2016","2016","USD","US Dollar","0","Units",,,24738.29,,
"NZL","New Zealand","EXR","In 2021 constant prices at 2021 USD exchange rates","A","Annual","2017","2017","USD","US Dollar","0","Units",,,25091.69,,
"NZL","New Zealand","EXR","In 2021 constant prices at 2021 USD exchange rates","A","Annual","2018","2018","USD","US Dollar","0","Units",,,25586.05,,
"NZL","New Zealand","EXR","In 2021 constant prices at 2021 USD exchange rates","A","Annual","2019","2019","USD","US Dollar","0","Units",,,26480.92,,
"NZL","New Zealand","EXR","In 2021 constant prices at 2021 USD exchange rates","A","Annual","2020","2020","USD","US Dollar","0","Units",,,28443.02,,
"NZL","New Zealand","EXR","In 2021 constant prices at 2021 USD exchange rates","A","Annual","2021","2021","USD","US Dollar","0","Units",,,29019.66,,
"GBR","United Kingdom","EXR","In 2021 constant prices at 2021 USD exchange rates","A","Annual","2001","2001","USD","US Dollar","0","Units",,,16262.94,,
"GBR","United Kingdom","EXR","In 2021 constant prices at 2021 USD exchange rates","A","Annual","2002","2002","USD","US Dollar","0","Units",,,17397.32,,
"GBR","United Kingdom","EXR","In 2021 constant prices at 2021 USD exchange rates","A","Annual","2003","2003","USD","US Dollar","0","Units",,,17794.88,,
"GBR","United Kingdom","EXR","In 2021 constant prices at 2021 USD exchange rates","A","Annual","2004","2004","USD","US Dollar","0","Units",,,18825.68,,
"GBR","United Kingdom","EXR","In 2021 constant prices at 2021 USD exchange rates","A","Annual","2005","2005","USD","US Dollar","0","Units",,,19702.89,,
"GBR","United Kingdom","EXR","In 2021 constant prices at 2021 USD exchange rates","A","Annual","2006","2006","USD","US Dollar","0","Units",,,20101.28,,
"GBR","United Kingdom","EXR","In 2021 constant prices at 2021 USD exchange rates","A","Annual","2007","2007","USD","US Dollar","0","Units",,,20667.31,,
"GBR","United Kingdom","EXR","In 2021 constant prices at 2021 USD exchange rates","A","Annual","2008","2008","USD","US Dollar","0","Units",,,20639.76,,
"GBR","United Kingdom","EXR","In 2021 constant prices at 2021 USD exchange rates","A","Annual","2009","2009","USD","US Dollar","0","Units",,,20876.21,,
"GBR","United Kingdom","EXR","In 2021 constant prices at 2021 USD exchange rates","A","Annual","2010","2010","USD","US Dollar","0","Units",,,20668.01,,
"GBR","United Kingdom","EXR","In 2021 constant prices at 2021 USD exchange rates","A","Annual","2011","2011","USD","US Dollar","0","Units",,,20354.33,,
"GBR","United Kingdom","EXR","In 2021 constant prices at 2021 USD exchange rates","A","Annual","2012","2012","USD","US Dollar","0","Units",,,20312.35,,
"GBR","United Kingdom","EXR","In 2021 constant prices at 2021 USD exchange rates","A","Annual","2013","2013","USD","US Dollar","0","Units",,,20223.05,,
"GBR","United Kingdom","EXR","In 2021 constant prices at 2021 USD exchange rates","A","Annual","2014","2014","USD","US Dollar","0","Units",,,20379.54,,
"GBR","United Kingdom","EXR","In 2021 constant prices at 2021 USD exchange rates","A","Annual","2015","2015","USD","US Dollar","0","Units",,,20912,,
"GBR","United Kingdom","EXR","In 2021 constant prices at 2021 USD exchange rates","A","Annual","2016","2016","USD","US Dollar","0","Units",,,22759.64,,
"GBR","United Kingdom","EXR","In 2021 constant prices at 2021 USD exchange rates","A","Annual","2017","2017","USD","US Dollar","0","Units",,,22881.84,,
"GBR","United Kingdom","EXR","In 2021 constant prices at 2021 USD exchange rates","A","Annual","2018","2018","USD","US Dollar","0","Units",,,23335.41,,
"GBR","United Kingdom","EXR","In 2021 constant prices at 2021 USD exchange rates","A","Annual","2019","2019","USD","US Dollar","0","Units",,,24033.6,,
"GBR","United Kingdom","EXR","In 2021 constant prices at 2021 USD exchange rates","A","Annual","2020","2020","USD","US Dollar","0","Units",,,25190.47,,
